,Name of compound,Compound ID,molecular_weight,molecular_formula,SMILES
0,Abacavir,Compound(441300),286.33,C14H18N6O,C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)C4CC(C=C4)CO
2,Abemaciclib,Compound(46220502),506.6,C27H32F2N8,CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F
3,Abiraterone Acetate,Compound(9821849),391.5,C26H33NO2,CC(=O)OC1CCC2(C3CCC4(C(C3CC=C2C1)CC=C4C5=CN=CC=C5)C)C
4,Acamprosate Calcium,Compound(155434),400.5,C10H20CaN2O8S2,CC(=O)NCCCS(=O)(=O)[O-].CC(=O)NCCCS(=O)(=O)[O-].[Ca+2]
5,Acarbose,Compound(41774),645.6,C25H43NO18,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)NC4C=C(C(C(C4O)O)O)CO
6,Acebutolol,Compound(1978),336.4,C18H28N2O4,CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C
7,Aceclofenac,Compound(71771),354.2,C16H13Cl2NO4,C1=CC=C(C(=C1)CC(=O)OCC(=O)O)NC2=C(C=CC=C2Cl)Cl
8,Acenocoumarol,Compound(54676537),353.3,C19H15NO6,CC(=O)CC(C1=CC=C(C=C1)[N+](=O)[O-])C2=C(C3=CC=CC=C3OC2=O)O
9,Acetazolamide,Compound(1986),222.3,C4H6N4O3S2,CC(=O)NC1=NN=C(S1)S(=O)(=O)N
10,Acetylcholine Chloride,Compound(6060),181.66,C7H16ClNO2,CC(=O)OCC[N+](C)(C)C.[Cl-]
11,Acetylcysteine,Compound(12035),163.2,C5H9NO3S,CC(=O)NC(CS)C(=O)O
12,Aciclovir,Compound(135398513),225.2,C8H11N5O3,C1=NC2=C(N1COCCO)N=C(NC2=O)N
13,Acipimox,Compound(5310993),154.12,C6H6N2O3,CC1=CN=C(C=[N+]1[O-])C(=O)O
14,Acitretin,Compound(5284513),326.4,C21H26O3,CC1=CC(=C(C(=C1C=CC(=CC=CC(=CC(=O)O)C)C)C)C)OC
15,Aclidinium Bromide,Compound(11519741),564.6,C26H30BrNO4S2,C1C[N+]2(CCC1C(C2)OC(=O)C(C3=CC=CS3)(C4=CC=CS4)O)CCCOC5=CC=CC=C5.[Br-]
16,Acrivastine,Compound(5284514),348.4,C22H24N2O2,CC1=CC=C(C=C1)C(=CCN2CCCC2)C3=CC=CC(=N3)C=CC(=O)O
17,Adapalene,Compound(60164),412.5,C28H28O3,COC1=C(C=C(C=C1)C2=CC3=C(C=C2)C=C(C=C3)C(=O)O)C45CC6CC(C4)CC(C6)C5
18,Adefovir Dipivoxil,Compound(60871),501.5,C20H32N5O8P,CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C(N=CN=C21)N)OCOC(=O)C(C)(C)C
19,Adenosine,Compound(60961),267.24,C10H13N5O4,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N
20,Afatinib,Compound(10184653),485.9,C24H25ClFN5O3,CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4
23,Agomelatine,Compound(82148),243.3,C15H17NO2,CC(=O)NCCC1=CC=CC2=C1C=C(C=C2)OC
24,Albendazole,Compound(2082),265.33,C12H15N3O2S,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC
26,Alclometasone Dipropionate,Compound(636374),521.0,C28H37ClO7,CCC(=O)OCC(=O)C1(C(CC2C1(CC(C3C2C(CC4=CC(=O)C=CC34C)Cl)O)C)C)OC(=O)CC
27,Alcohol,Compound(702),46.07,C2H6O,CCO
29,Alectinib,Compound(49806720),482.6,C30H34N4O2,CCC1=CC2=C(C=C1N3CCC(CC3)N4CCOCC4)C(C5=C(C2=O)C6=C(N5)C=C(C=C6)C#N)(C)C
30,Alendronic Acid,Compound(2088),249.1,C4H13NO7P2,C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN
31,Alfentanil,Compound(51263),416.5,C21H32N6O3,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCN3C(=O)N(N=N3)CC)COC
32,Alfuzosin Hydrochloride,Compound(71764),425.9,C19H28ClN5O4,CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC.Cl
33,Alginic Acid,Compound(6850754),398.32,C14H22O13,COC1C(C(C(OC1C(=O)O)OC2C(C(C(OC2C(=O)O)OC)O)O)O)O
34,Alimemazine Tartrate,Compound(441236),747.0,C40H50N4O6S2,CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)CN(C)C.CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)CN(C)C.C(C(C(=O)O)O)(C(=O)O)O
35,Aliskiren,Compound(5493444),551.8,C30H53N3O6,CC(C)C(CC1=CC(=C(C=C1)OC)OCCCOC)CC(C(CC(C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N
36,Alitretinoin,Compound(449171),300.4,C20H28O2,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C
37,Allopurinol,Compound(135401907),136.11,C5H4N4O,C1=NNC2=C1C(=O)NC=N2
38,Almotriptan,Compound(123606),335.5,C17H25N3O2S,CN(C)CCC1=CNC2=C1C=C(C=C2)CS(=O)(=O)N3CCCC3
